Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,height,manufacturer_name,manufacturer_part_number,mouser part number,mouser price/stock
1,Unpolarized capacitor,C,C3,10uF,C_0805_2012Metric,1,~,,,,,
2,Unpolarized capacitor,C,C1,22uF,C_0805_2012Metric,1,~,,,,,
3,Unpolarized capacitor,C,C2,47uF,C_0805_2012Metric,1,~,,,,,
4,Diode,D,D1,M4,D_SMA,1,~,,,,,
5,"2x03 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x03_PARALLEL,J2J5J6,HEADER_2x03_PARALLEL,PinHeader_2x03_P2.54mm_Vertical,3,,,,,,
6,"Jumper, 3-pole, pins 1+2 closed/bridged",Jumper_3_Bridged12,JP4,HEADER_1x03,PinHeader_1x03_P2.54mm_Vertical,1,~,,,,,
7,"Jumper, 2-pole, open",Jumper_2_Open,JP1JP2,Jumper_2_Open,PinHeader_1x02_P2.54mm_Vertical,2,~,,,,,
8,Inductor,L,L1,1uH - DFE252012P-1R0M=P2,L_1008_2520Metric,1,~,,,,,
9,"Resistor, small symbol",R_Small,R4R5,1k,R_0805_2012Metric,2,~,,,,,
10,Resistor,R,R1,91k,R_0805_2012Metric,1,~,,,,,
11,Resistor,R,R2,511k,R_0805_2012Metric,1,~,,,,,
12,Resistor,R,R3,806k,R_0805_2012Metric,1,~,,,,,
13,"Switching Voltage Regulators 1.5-A output current, high power density buck-boost converter",TPS631000DRLR,U1,TPS631000DRLR,SOTFL50P160X60-8N,1,https://www.ti.com/lit/ds/symlink/tps631000.pdf?ts=1652152702265,0.6,Texas Instruments,TPS631000DRLR,595-TPS631000DRLR,https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TPS631000DRLR?qs=rSMjJ%252B1ewcRYwoN2deTeNA%3D%3D
